user_id,clip_duration,media_platform,age_new,day,tt,ad_complete,ad_brand_cat,genre_new,gender_new,l_ad_stop,u_ad_stop
80,252,MOBILE APP,20,Sat,0,0,drink,entertainment,Female,3.75,7.5
81,61,MOBILE WEB,30,Tue,17,0,corporation,sports,Male,3.75,7.5
82,180,MOBILE WEB,30,Wed,0,1,food,entertainment,Female,11.25,15
83,235,MOBILE APP,10,Sun,23,0,education,entertainment,Female,3.75,7.5
84,627,MOBILE WEB,40,Sun,4,0,corporation,sports,Male,3.75,7.5
85,121,MOBILE WEB,40,Sat,22,0,medicine,entertainment,Female,3.75,7.5
86,115,MOBILE WEB,40,Tue,22,0,food,current_affairs,Male,3.75,7.5
87,161,MOBILE WEB,10,Tue,0,0,pet,entertainment,Female,0,3.75
88,110,MOBILE WEB,40,Mon,21,0,drink,drama,Female,3.75,7.5
89,145,MOBILE WEB,20,Mon,23,0,food,drama,Female,11.25,15
90,273,MOBILE WEB,20,Wed,10,0,medicine,entertainment,Female,0,3.75
91,73,MOBILE WEB,30,Tue,8,0,drink,sports,Male,3.75,7.5
92,102,MOBILE WEB,30,Wed,22,0,education,drama,Female,7.5,11.25
93,130,MOBILE WEB,30,Sun,23,0,drink,sports,Male,3.75,7.5
94,61,MOBILE WEB,30,Sun,15,0,corporation,sports,Male,3.75,7.5
95,67,MOBILE WEB,20,Tue,12,0,drink,sports,Male,3.75,7.5
96,201,MOBILE WEB,40,Sat,16,1,health_food,entertainment,Female,11.25,15
97,160,MOBILE WEB,40,Sun,9,0,education,entertainment,Male,3.75,7.5
98,225,MOBILE WEB,20,Sat,0,0,food,entertainment,Female,7.5,11.25
99,84,MOBILE WEB,10,Sat,20,0,food,drama,Female,3.75,7.5
100,119,MOBILE WEB,30,Fri,18,0,corporation,sports,Male,3.75,7.5
101,194,MOBILE WEB,20,Sat,21,0,pet,entertainment,Female,3.75,7.5
102,142,MOBILE WEB,20,Wed,12,1,government,entertainment,Female,11.25,15
103,66,PC WEB,40,Thu,17,1,drink,sports,Male,11.25,15
104,136,MOBILE WEB,30,Thu,10,1,education,drama,Female,11.25,15
105,170,MOBILE WEB,50,Thu,7,0,food,entertainment,Female,0,3.75
106,141,MOBILE WEB,30,Mon,0,0,medicine,drama,Female,0,3.75
107,175,MOBILE WEB,20,Sat,22,0,education,drama,Female,3.75,7.5
108,129,MOBILE WEB,20,Sat,15,1,medicine,entertainment,Male,11.25,15
109,101,MOBILE WEB,30,Sat,12,0,corporation,sports,Male,3.75,7.5
110,130,MOBILE WEB,10,Thu,0,0,drink,entertainment,Female,3.75,7.5
111,60,MOBILE WEB,30,Wed,12,0,government,sports,Male,3.75,7.5
112,75,MOBILE WEB,40,Fri,9,0,corporation,sports,Male,7.5,11.25
113,96,MOBILE WEB,40,Wed,17,1,drink,sports,Male,11.25,15
114,340,MOBILE WEB,10,Mon,11,0,medicine,drama,Female,7.5,11.25
115,167,MOBILE WEB,40,Tue,20,0,health_food,drama,Female,3.75,7.5
116,154,MOBILE WEB,40,Sat,14,1,drink,sports,Male,11.25,15
117,558,MOBILE WEB,40,Sun,17,0,drink,sports,Male,3.75,7.5
118,373,MOBILE WEB,20,Sat,7,0,food,entertainment,Female,3.75,7.5
119,180,MOBILE WEB,10,Thu,16,1,food,entertainment,Female,11.25,15
120,235,MOBILE WEB,30,Sun,9,0,health_food,drama,Female,0,3.75
121,153,MOBILE WEB,30,Sat,1,0,drink,drama,Male,7.5,11.25
122,277,MOBILE WEB,20,Sat,16,0,movie,entertainment,Female,7.5,11.25
123,74,MOBILE WEB,30,Fri,17,0,corporation,sports,Male,3.75,7.5
124,64,MOBILE WEB,60,Fri,6,0,pet,sports,Male,3.75,7.5
125,236,MOBILE WEB,40,Tue,7,0,health_food,entertainment,Female,7.5,11.25
126,321,MOBILE WEB,20,Tue,22,1,food,information,Female,11.25,15
127,147,MOBILE WEB,50,Mon,15,0,finance,entertainment,Female,0,3.75
128,233,MOBILE WEB,40,Sat,14,0,education,music,Female,3.75,7.5
129,92,MOBILE WEB,30,Fri,12,0,medicine,drama,Female,7.5,11.25
130,237,MOBILE WEB,30,Sat,17,1,drink,sports,Male,11.25,15
131,127,MOBILE WEB,10,Mon,0,0,education,entertainment,Female,7.5,11.25
132,83,MOBILE WEB,40,Fri,9,0,drink,sports,Male,3.75,7.5
133,100,MOBILE WEB,50,Sat,14,0,drink,sports,Male,3.75,7.5
134,238,MOBILE WEB,50,Tue,14,0,government,sports,Male,3.75,7.5
135,123,MOBILE WEB,20,Thu,22,0,drink,entertainment,Female,3.75,7.5
136,752,MOBILE WEB,40,Wed,8,1,pet,drama,Female,11.25,15
137,236,MOBILE WEB,50,Sun,10,0,drink,music,Male,0,3.75
138,167,MOBILE APP,10,Wed,4,0,food,entertainment,Male,3.75,7.5
139,168,MOBILE WEB,10,Mon,21,0,drink,entertainment,Female,0,3.75
140,181,PC WEB,30,Sat,14,0,movie,entertainment,Male,0,3.75
141,285,MOBILE WEB,20,Sun,16,0,corporation,sports,Male,3.75,7.5
142,127,MOBILE WEB,40,Tue,23,1,drink,sports,Male,11.25,15
143,131,MOBILE APP,10,Sat,13,0,education,entertainment,Female,3.75,7.5
144,74,MOBILE WEB,30,Fri,16,0,corporation,sports,Male,3.75,7.5
145,324,MOBILE WEB,50,Fri,8,1,drink,entertainment,Female,11.25,15
146,76,MOBILE WEB,20,Fri,14,0,corporation,sports,Male,3.75,7.5
147,597,MOBILE WEB,30,Sat,16,0,corporation,sports,Male,3.75,7.5
148,154,MOBILE WEB,20,Sat,13,1,drink,sports,Male,11.25,15
149,119,MOBILE WEB,30,Fri,16,0,corporation,sports,Male,3.75,7.5
150,112,MOBILE WEB,20,Sat,16,1,drink,sports,Male,11.25,15
151,111,MOBILE WEB,30,Mon,7,1,government,drama,Female,11.25,15
152,204,MOBILE WEB,20,Sat,1,0,food,entertainment,Female,3.75,7.5
153,89,MOBILE WEB,40,Sat,7,0,health_food,drama,Male,11.25,15
154,292,MOBILE APP,10,Mon,2,0,food,entertainment,Female,0,3.75
155,190,MOBILE WEB,30,Mon,18,0,drink,entertainment,Female,3.75,7.5
156,133,MOBILE WEB,10,Thu,19,0,drink,entertainment,Female,3.75,7.5
157,177,MOBILE WEB,20,Sat,0,1,pet,music,Female,11.25,15
158,131,MOBILE WEB,30,Wed,18,1,drink,sports,Male,11.25,15
159,118,MOBILE WEB,20,Sun,18,0,drink,entertainment,Male,0,3.75
160,122,MOBILE WEB,40,Thu,19,0,woman,drama,Female,0,3.75
161,96,MOBILE WEB,30,Wed,16,1,drink,sports,Male,11.25,15
162,149,MOBILE WEB,30,Thu,23,0,drink,drama,Female,3.75,7.5
163,72,MOBILE WEB,20,Wed,14,1,drink,sports,Male,11.25,15
164,142,MOBILE WEB,30,Tue,7,1,electronics,entertainment,Female,11.25,15
165,323,MOBILE WEB,30,Tue,11,1,corporation,sports,Male,11.25,15
166,115,MOBILE WEB,30,Sat,17,0,food,entertainment,Female,3.75,7.5
167,195,MOBILE WEB,20,Tue,16,0,health_food,entertainment,Female,3.75,7.5
168,212,MOBILE WEB,30,Thu,13,0,drink,sports,Male,3.75,7.5
169,182,MOBILE WEB,40,Wed,12,1,food,entertainment,Female,11.25,15
170,110,MOBILE WEB,10,Mon,0,0,health_food,drama,Male,3.75,7.5
171,64,MOBILE WEB,40,Sun,23,0,corporation,sports,Male,3.75,7.5
172,201,MOBILE WEB,20,Sun,19,0,corporation,sports,Male,3.75,7.5
173,94,MOBILE WEB,40,Thu,22,0,health_food,drama,Male,3.75,7.5
174,147,MOBILE WEB,40,Sat,13,0,drink,sports,Male,3.75,7.5
175,203,MOBILE WEB,40,Tue,9,0,food,entertainment,Female,3.75,7.5
176,90,MOBILE WEB,40,Sat,18,0,corporation,sports,Male,7.5,11.25
177,101,MOBILE WEB,50,Sat,13,0,drink,sports,Male,3.75,7.5
178,72,PC WEB,50,Wed,16,1,drink,sports,Male,11.25,15
179,164,MOBILE WEB,30,Tue,9,0,drink,drama,Female,11.25,15
180,125,PC WEB,50,Fri,17,0,drink,sports,Male,3.75,7.5
181,70,MOBILE WEB,50,Wed,19,0,drink,sports,Male,3.75,7.5
182,262,MOBILE WEB,10,Fri,21,0,food,entertainment,Male,3.75,7.5
183,241,MOBILE APP,40,Sat,17,0,medicine,entertainment,Female,7.5,11.25
184,207,MOBILE WEB,20,Sun,21,1,electronics,entertainment,Female,11.25,15
185,206,MOBILE WEB,60,Fri,8,0,drink,sports,Female,3.75,7.5
186,67,MOBILE WEB,40,Sun,16,0,drink,sports,Male,7.5,11.25
187,159,MOBILE WEB,40,Thu,20,0,health_food,entertainment,Male,3.75,7.5
188,64,MOBILE WEB,40,Mon,6,0,corporation,sports,Male,0,3.75
